Date,Predicted Sales,Lower Bound,Upper Bound
2016-09-17,3130.3914128027254,311.1417231539151,5835.8353547665565
2016-09-18,2870.7465875283233,70.63795497014151,5520.967611787432
2016-09-19,2719.6033970013514,-150.98019275472586,5321.2138922680815
2016-09-20,3024.5392867549836,164.31394059627397,5671.26148495028
2016-09-21,2531.6976632687188,-265.50617553515843,5185.338225232623
2016-09-22,1900.6936741496097,-636.5732381375929,4441.803658823849
2016-09-24,2838.030535677137,-42.330772833725625,5659.815400016712
2016-09-25,2531.0267832171908,-277.33241811532207,5569.195211041266
2016-09-26,2336.1605581354747,-375.21827454378575,4877.381481050989
2016-09-27,2601.543903292829,-245.5625224225136,5392.318901076605
2016-09-28,2073.805005097739,-718.4502543247667,4797.602638062968
2016-10-01,2307.371259250133,-507.6261521647901,5190.778719120036
2016-10-02,1987.772334081648,-657.4898899581972,4763.408509340683
2016-10-03,1786.4840743311843,-841.8871107921618,4721.548381103348
2016-10-04,2051.7206308327686,-664.853025284835,4636.80896345838
2016-10-05,1530.1419962436132,-1248.5166457336322,4257.87300420999
2016-10-08,1819.6956220252464,-774.6128028365658,4674.0730966907395
2016-10-09,1530.543640238522,-1268.3039764890746,4158.146233893813
2016-10-10,1365.1367310264616,-1371.514630188543,4171.929717671499
2016-10-11,1671.3206372448653,-1256.186501615029,4197.497744566954
2016-10-12,1195.3288641516795,-1460.817123740956,4138.348834326125
2016-10-13,596.6869195236684,-2198.6756689453014,3455.2051790225128
2016-10-15,1644.0315463016962,-1222.8196011224409,4578.3892746971815
2016-10-16,1413.6087073708468,-1363.3810477536938,4085.5370367109385
2016-10-17,1308.7161703006252,-1471.3728097398493,4016.139048274637
2016-10-18,1676.5213000032882,-1059.8007653126692,4198.502464910685
2016-10-19,1262.558071974127,-1430.5085383343178,4003.9164077475184
2016-10-20,725.6386509724229,-2063.5877521887055,3549.4156824448246
2016-10-22,1892.6353324327451,-736.9571186377025,4808.27650201414
2016-10-23,1718.7191242304564,-1158.0318856776034,4468.658773086105
2016-10-24,1667.1991911585808,-1073.7605723464383,4358.166357630064
2016-10-25,2084.5865632600494,-701.7828359732614,4770.1198693286115
2016-10-26,1715.7977976315954,-1073.0355188001586,4385.666243068852
2016-10-28,1921.2827116225958,-835.6013638714165,4671.255094321435
2016-10-29,2449.558887250958,-293.31643343226455,5260.490080786181
2016-10-30,2298.1170850448934,-469.63937305033744,5311.5300507852535
2016-10-31,2262.482733429311,-388.27880894965244,5147.866762482225
2016-11-01,2688.970119994927,17.267695923398332,5270.6448846425965
2016-11-02,2322.3946004905383,-435.98203376026754,4996.053693461181
2016-11-03,1820.9980727131888,-1028.59211684883,4356.028928630817
2016-11-05,3021.978270523852,325.1464611408738,5681.511767034958
2016-11-06,2846.2238421362304,131.9847875353911,5520.809562695242
2016-11-07,2780.4164342866698,-103.30114848109075,5543.483039270146
2016-11-08,3171.377658876884,469.41213281102625,5813.226858372492
2016-11-09,2764.5204356542963,-55.424406124180344,5590.247888222268
